barcode,desc_short,CLIR_status,json_status,old_json,old_json_src,bibliocommons,call_number,publisher,publisher_full,geo_extent,geo_extent_discrete,year,title,bibliocommons_control
39999059011021,brighton 1890,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1890-brighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1890-brighton.geojson,"https://bpl.bibliocommons.com/item/show/411786075_atlas_of_the_city_of_boston,_mass",G1234_B6_B7_1888v7,Bromley,Philadelphia : G.W. Bromley & Co.,Brighton,Brighton,1890,"Atlas of the City of Boston, Mass",411786075
39999059011286,brighton 1897,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1897-brighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1897-brighton.geojson,https://bpl.bibliocommons.com/item/show/2788550075_atlas_of_the_city_of_boston,G1234_B6_B7_1897,Bromley,Philadelphia : G.W. Bromley and Co.,Brighton,Brighton,1897,Atlas of the City of Boston,2788550075
39999059011708,brighton 1916,complete,new index,https://apps.bpl.org/nblmc/indexes/index-bromley-1916-brighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1916-brighton.geojson,https://bpl.bibliocommons.com/item/show/438090075_atlas_of_the_city_of_boston,G1234_B6_2B7_B7_1916x,Bromley,Philadelphia : G.W. Bromley.,Brighton,Brighton,1916,Atlas of the City of Boston,438090075
39999059011799,brookline 1874,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/2788687075,G1234_B9G46_G5_1874x,Hopkins,Philadelphia : G.M. Hopkins & Co.,Brookline,Brookline,1874,Atlas of the Town of Brookline Massachusetts,2788687075
39999059011823,brookline 1888,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/438060075,G1234_B9G46_B7_1888x,Bromley,Philadelphia : G.W. Bromley.,Brookline,Brookline,1888,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",438060075
39999085948030,brookline 1893,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/438061075,G1234_B9_B7_1893x,Bromley,Philadelphia : G.W. Bromley & Co.,Brookline,Brookline,1893,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",438061075
39999059011831,brookline 1893,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/438116075,G1234_B9G46_E5_1893x,Richards & Elliott,"Springfield, Mass. : L.J. Richards.",Brookline,Brookline,1893,"Atlas of the Town of Brookline, Massachusetts",438116075
39999085949194,brookline 1900,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/6599879075,Atlas81_4_B84_1900,Bromley,Philadelphia : G.W. Bromley & Co.,Brookline,Brookline,1900,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",6599879075
39999085948022,brookline 1907,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/438074075,G1234.B9 B7 1907x,Bromley,Philadelphia: G.W. Bromley & Co.,Brookline,Brookline,1907,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",438074075
39999059012029,brookline 1913,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/438073075,G1234_B9G46_B7_1913x,Bromley,Philadelphia : G.W. Bromley.,Brookline,Brookline,1913,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",438073075
39999059012011,brookline 1919,complete,new index,n/a,n/a,https://bpl.bibliocommons.com/item/show/2788822075,G1234_B9G46_B7_1919x,Bromley,Philadelphia : G.W. Bromley & Co.,Brookline,Brookline,1919,"Atlas of the Town of Brookline, Norfolk County, Massachusetts",2788822075
